Number ,DNA extraction concentration (ng/µl),OrNV detection (Y/N),,
132,56,N ,Y＝Infection,30
174,34.35,Retry,N＝Non Infection,55
208,8.5,Retry,Retry=DNA extraction failed,43
63,1735,N ,,
15,1877.8,Y,,
171,128.75,N ,,
169,96.6,N ,,
78,145.05,N ,,
92,179.75,N ,,
114,1898.1,Retry,,
103,5.05,N ,,
155,150.35,Y,,
213,92.8,Retry,,
57,197.85,N ,,
113,1035.9,N ,,
153,387.95,N ,,
95,583.55,N ,,
87,68.45,N ,,
197,191.2,N ,,
159,518.1,N ,,
100,1431,N ,,
98,514.1,N ,,
101,480.05,N ,,
161,472,Y,,
187,496.35,N ,,
13,394.35,N ,,
83,55.4,N ,,
66,208.6,N ,,
227,9.65,N ,,
141,24.4,N ,,
69,68.45,N ,,
23,4.6,N ,,
182,17.6,N ,,
34,20.95,Retry,,
80,56.45,Retry,,
32,325.7,Retry,,
218,883.7,Y,,
85,330.2,Y,,
115,301.95,Y,,
26,854.3,Retry,,
89,236.05,Retry,,
223,9.15,Retry,,
44,262,Retry,,
118,137.3,Retry,,
52,61.65,Retry,,
102,111.7,Retry,,
222,1850.1,Retry,,
193,249.25,Retry,,
123,596.2,N ,,
179,366.4,N ,,
204,197.15,Retry,,
21,5.2,Y,,
151,261.9,N ,,
145,36.65,Y,,
60,2923.5,Y,,
156,499.8,Retry,,
136,110.6,Y,,
184,322,Retry,,
107,153.8,Retry,,
19,161.55,Retry,,
125,447.4,Y,,
180,2236.8,Retry,,
54,23.2,Retry,,
141,166.15,N ,,
6,808.25,Retry,,
192,265.7,N ,,
96,136.2,N ,,
198,400.6,Retry,,
35,39.15,N ,,
47,67.2,Retry,,
123,429.65,N ,,
37,448.1,Y,,
20,2024.5,Retry,,
131,92.7,Retry,,
51,15.1,Retry,,
122,50.9,N ,,
134,61.15,Retry,,
191,321.95,N ,,
199,57.3,Y,,
-,650.35,Retry,,
189,813.55,Retry,,
36,169.8,Retry,,
138,351.9,Retry,,
75,7.5,Retry,,
173,405.7,Y,,
19,420.95,Y,,
79,621.5,N ,,
160,502.2,Y,,
147,9.15,Retry,,
144,675.75,Y,,
71,3319.2,Retry,,
183,187.25,Retry,,
104,707.35,Y,,
217,316.7,Y,,
62,41.1,N ,,
110,162.05,N ,,
55,196.7,Retry,,
11,4.55,Retry,,
128,324.55,Retry,,
211,137.8,Retry,,
226,296.1,N ,,
1,883.4,N ,,
121,79.75,Y,,
201,213.25,N ,,
166,677.8,Y,,
76,10.4,Retry,,
41,396.5,N ,,
124,1812,Y,,
168,227.7,N ,,
142,187.25,Y,,
49,357.85,Y,,
220,5,N ,,
96,11.85,Y,,
119,115.2,Y,,
110,321.2,N ,,
203,350.75,N ,,
14,19.8,N ,,
67,226.25,N ,,
25,11.25,Y,,
162,15.5,Y,,
10,93.9,N ,,
28,86.05,N ,,
94,23.45,N ,,
64,347,N ,,
186,539.5,N ,,
139,63.1,N ,,
39,12.4,Y,,
45,134.6,Y,,
More 46 Samples,Coming soon...,,,